Jonne Aaron	OTA SYLIIN JA SUUTELE MUA	M	COV13
Juha Tapio	KUN VIELÄ EHTII	M	COV13
Laila Kinnunen & Jorma Kääriäinen Agents	IDÄN JA LÄNNEN TIET	M	COV13
Laura Voutilainen	RAKKAUTTA EI PIILOON SAA	M	COV13
Lea Laven	PIKKU LURJUS	M	COV13
Pave Maijanen	ELÄMÄN NÄLKÄ	M	COV13
Pave Maijanen	IKÄVÄ	M	COV13
Pave Maijanen	JANO	M	COV13
Pave Maijanen	JOS TAHDOT	M	COV13
Pave Maijanen	KUUME	M	COV13
Saija Tuupanen	SIELUNI SOITTO	M	COV13
Samu Haber	ENKELTEN KAUPUNKI	M	COV13
Stig	KUNINGASKOBRA	M	COV13
Tarja Lunnas	HYVÄILE HYVÄILE VAAN	M	COV13
Tuure Kilpeläinen ja Kaihon Karavaani	JÄÄHYVÄISET	M	COV13
Arttu Wiskari	NOKKAHUILU	M	COV14
Eila Torvela	YKSI ON YLITSE MUIDEN	M	COV14
Ellinoora	DINOSAURUKSII	M	COV14
Erika Vikman	SYNTISTEN PÖYTÄ	M	COV14
Finlanders	DANIELA	M	COV14
Haloo Helsinki!	PIILOTAN MUN KYYNELEET	M	COV14
Irwin Goodman	HAISTAKAA PASKA KOKO VALTIOVALTA	M	COV14
Jamppa Tuominen	MISSÄ OLIT SILLOIN (Down In Ankara)	M	COV14
Jarkko Honkanen	TAIVAAN VÄRIT (La Lluvia Temino)	M	COV14
Kaija Koo	TAIPUMATON	M	COV14
Kari Tapio	VIELÄ KERRAN	M	COV14
Kaseva	VANHA MIES	M	COV14
Lauri Tähkä	AAVIKKO	M	COV14
MA Numminen	MAAILMA SE ON KUIN SILKKIÄ VAAN	M	COV14
Remix ft Martina Aitolehti	SINUT TAHTOISIN LUOKSENI (I Just Died In Your Arms)	M	COV14
Remu	PAHOLAISEN MASURKKA	M	COV14
Souvarit	MIETIN SUA HAAVEISSAIN	M	COV14
Suvi Teräsniska	KAIKKI JOIDEN JÄLJET SÄÄSTIN	M	COV14
Vesterinen Yhtyeineen	KOLME HYVÄÄ VINKKIÄ	M	COV14
Virve Vicky Rosti	SUA KAIPAAN NIIN	M	COV14
BEHM	TIVOLIT	M	COV15
